number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
34,0.508395962282746,2026-03-24 10:02:53.433306,2026-03-24 10:03:23.326036,0 days 00:00:29.892730,0.4116818385453043,4.213381170785459,0.02374647293887011,11,2,1800,2.0028296011924594e-07,0.7720957964335944,0.7024520844211622,COMPLETE
35,0.5173776567670351,2026-03-24 10:03:23.326862,2026-03-24 10:03:39.271218,0 days 00:00:15.944356,0.559471916683023,2.1738751057071415,0.13226621382929693,8,5,1100,3.153916551072606e-08,0.08657982706803005,0.7410107071381388,COMPLETE
36,0.5130167105728928,2026-03-24 10:03:39.271855,2026-03-24 10:04:12.813973,0 days 00:00:33.542118,0.4977605383292779,4.00221708927205,0.013884900736681851,12,7,1500,3.377408080079047e-07,3.863895470199673,0.60446634588313,COMPLETE
37,0.5055861605808832,2026-03-24 10:04:12.814580,2026-03-24 10:04:33.020178,0 days 00:00:20.205598,0.4770606550136567,3.6175793878848643,0.07291049322963006,10,4,1300,3.463841458682413e-06,0.0002824669968650881,0.5530870564692424,COMPLETE
38,0.49805035234082684,2026-03-24 10:04:33.020800,2026-03-24 10:04:46.929935,0 days 00:00:13.909135,0.4342738689066459,4.581816242506269,0.05378334669555987,11,3,900,4.5769152441599634e-08,0.2917397241428948,0.7768408853315448,COMPLETE
39,0.5315861454333812,2026-03-24 10:04:46.930611,2026-03-24 10:05:08.561674,0 days 00:00:21.631063,0.5118075882530765,2.636105415739433,0.04008832537008726,7,6,1200,0.0001902112542628501,0.6308790505168769,0.7295807638718625,COMPLETE
40,0.4981524221778864,2026-03-24 10:05:08.562969,2026-03-24 10:05:33.223022,0 days 00:00:24.660053,0.6025896621722582,1.6344261328285292,0.03753207664047141,7,6,1200,0.011918981812918967,0.014420052896437136,0.819707120478447,COMPLETE
41,0.5122639947255846,2026-03-24 10:05:33.223629,2026-03-24 10:06:15.261666,0 days 00:00:42.038037,0.5143875583082465,2.7379317698120356,0.007187574008256978,6,5,1400,0.0001257667161650669,0.7111489852561507,0.7288206097160732,COMPLETE
42,0.511885083819552,2026-03-24 10:06:15.262514,2026-03-24 10:06:30.922472,0 days 00:00:15.659958,0.465190476029279,3.2136339426947997,0.09205968549183899,7,6,1100,0.0002947154210516104,3.0041138556256004,0.769067398618543,COMPLETE
43,0.4857452825173289,2026-03-24 10:06:30.923433,2026-03-24 10:06:53.365059,0 days 00:00:22.441626,0.5356005737585201,1.9843856847281427,0.1872148631639684,8,8,1600,0.0016164127913830286,0.8182103003057163,0.696767322003624,COMPLETE
44,0.5260332500409491,2026-03-24 10:06:53.365750,2026-03-24 10:07:20.559951,0 days 00:00:27.194201,0.43025676208712627,2.349025941875548,0.02234245161171189,3,4,1400,0.04229172880216516,0.19849000987426946,0.655026933708425,COMPLETE
45,0.5399117261639657,2026-03-24 10:07:20.560695,2026-03-24 10:07:37.821613,0 days 00:00:17.260918,0.5044340747833691,2.251236627370419,0.031261772126631386,3,4,900,0.06365867669571927,0.05144660616015483,0.6524740971923401,COMPLETE
46,0.5214139298056012,2026-03-24 10:07:37.822242,2026-03-24 10:07:55.076595,0 days 00:00:17.254353,0.4930306260756924,2.2930012417569197,0.02039519091014137,3,4,900,0.042326398729544065,0.17230286293357844,0.6454056315841572,COMPLETE
47,0.520309897683484,2026-03-24 10:07:55.077246,2026-03-24 10:08:14.669321,0 days 00:00:19.592075,0.9968599887345563,1.2203492997583345,0.03154339358161757,4,4,800,0.3335241926254416,0.0535798157467414,0.5448464224982734,COMPLETE
48,0.5140179429450035,2026-03-24 10:08:14.670019,2026-03-24 10:08:36.367618,0 days 00:00:21.697599,0.5155484382566177,1.607212015378694,0.047139681913535764,4,5,1000,0.029708895717950684,0.0008552181206794749,0.6137798519895707,COMPLETE
49,0.4824798361775107,2026-03-24 10:08:36.368320,2026-03-24 10:08:46.267409,0 days 00:00:09.899089,0.5780653803461551,2.6091342535958995,0.01719920793473,3,1,500,5.8847407876671465,0.0052426261506446515,0.9231810640140996,COMPLETE
